FID;build_time;build_type;municipality;settl_unit;lon;lat
0;enne 1919;uhepereelamu;Pajusi;Aidu;26.198374;58.728722
1;enne 1919;uhepereelamu;Pajusi;Aidu;26.200217;58.729531
2;enne 1919;uhepereelamu;Pajusi;Aidu;26.199965;58.730159
3;1946-1960;uhepereelamu;Pajusi;Aidu;26.200185;58.731507
4;1946-1960;uhepereelamu;Pajusi;Aidu;26.198416;58.731246
5;1919-1945;uhepereelamu;Pajusi;Aidu;26.198508;58.731760
6;1971-1980;uhepereelamu;Pajusi;Aidu;26.197071;58.731825
7;1971-1980;uhepereelamu;Pajusi;Aidu;26.197653;58.732206
8;enne 1919;uhepereelamu;Pajusi;Aidu;26.196776;58.729994
9;enne 1919;uhepereelamu;Pajusi;Aidu;26.195381;58.731045
10;ehitusaeg teadmata;uhepereelamu;Pajusi;Aidu;26.194032;58.733134
11;enne 1919;uhepereelamu;Pajusi;Aidu;26.194114;58.734444
12;1919-1945;uhepereelamu;Pajusi;Aidu;26.192216;58.735178
13;1981-1990;uhepereelamu;Pajusi;Aidu;26.193729;58.735466
14;ehitusaeg teadmata;uhepereelamu;Pajusi;Aidu;26.185043;58.737473
15;1971-1980;uhepereelamu;Pajusi;Aidu;26.185069;58.738258
16;1981-1990;uhepereelamu;Pajusi;Aidu;26.184674;58.739209
17;1981-1990;uhepereelamu;Pajusi;Aidu;26.183202;58.738905
18;enne 1919;uhepereelamu;Pajusi;Aidu;26.180276;58.740041
19;1981-1990;uhepereelamu;Pajusi;Aidu;26.179150;58.740231
20;1919-1945;uhepereelamu;Pajusi;Aidu;26.178203;58.740311
21;1961-1970;uhepereelamu;Pajusi;Aidu;26.187440;58.732851
22;1961-1970;uhepereelamu;Pajusi;Aidu;26.186230;58.732566
23;1919-1945;uhepereelamu;Pajusi;Aidu;26.183267;58.733003
24;1971-1980;uhepereelamu;Pajusi;Aidu;26.180105;58.732508
25;1946-1960;uhepereelamu;Pajusi;Aidu;26.202473;58.730479
26;enne 1919;uhepereelamu;Pajusi;Aidu;26.204298;58.727781
27;1919-1945;uhepereelamu;Pajusi;Aidu;26.207695;58.722562
28;1961-1970;uhepereelamu;Pajusi;Aidu;26.196856;58.728406
29;1919-1945;uhepereelamu;Pajusi;Aidu;26.197727;58.727251
30;enne 1919;uhepereelamu;Pajusi;Aidu;26.198273;58.724672
31;enne 1919;uhepereelamu;Pajusi;Aidu;26.199285;58.719364
32;enne 1919;uhepereelamu;Pajusi;Aidu;26.206936;58.715267
33;enne 1919;uhepereelamu;Pajusi;Aidu;26.191114;58.717643
34;enne 1919;uhepereelamu;Pajusi;Aidu;26.183929;58.719705
35;1919-1945;uhepereelamu;Pajusi;Aidu;26.185138;58.717511
36;1946-1960;muu vaikeelamu;Pajusi;Aidu;26.182006;58.717564
37;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.988536;58.690483
38;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.986697;58.696035
39;enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.986271;58.697999
40;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.006165;58.694889
41;1961-1970;paljukorteriline elamu;Poltsamaa;Alastvere;25.999520;58.699681
42;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.009620;58.696120
43;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.009126;58.698005
44;enne 1919;uhepereelamu;Poltsamaa;Alastvere;26.010986;58.698264
45;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.013119;58.699344
46;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.016473;58.701537
47;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.005423;58.692467
48;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.003251;58.692177
49;1991-1995;uhepereelamu;Poltsamaa;Alastvere;26.003921;58.689122
50;1919-1945;uhepereelamu;Poltsamaa;Alastvere;26.003968;58.688761
51;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.991139;58.686203
52;1961-1970;uhepereelamu;Poltsamaa;Alastvere;25.994428;58.679143
53;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.987946;58.688292
54;enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.985047;58.688579
55;enne 1919;uhepereelamu;Poltsamaa;Alastvere;25.985238;58.689213
56;1919-1945;uhepereelamu;Poltsamaa;Alastvere;25.980965;58.688435
57;1919-1945;uhepereelamu;Jogeva;Alavere;26.519816;58.763077
58;enne 1919;uhepereelamu;Jogeva;Alavere;26.505981;58.776718
59;1919-1945;uhepereelamu;Jogeva;Alavere;26.506546;58.775113
60;1919-1945;uhepereelamu;Jogeva;Alavere;26.508954;58.773835
61;ehitus pooleli;uhepereelamu;Jogeva;Alavere;26.509107;58.772785
62;enne 1919;uhepereelamu;Jogeva;Alavere;26.509407;58.772339
63;ehitusaeg teadmata;uhepereelamu;Jogeva;Alavere;26.509422;58.771944
64;enne 1919;uhepereelamu;Jogeva;Alavere;26.510347;58.770883
65;enne 1919;uhepereelamu;Jogeva;Alavere;26.511272;58.770803
66;ehitusaeg teadmata;uhepereelamu;Jogeva;Alavere;26.511409;58.770000
67;enne 1919;uhepereelamu;Jogeva;Alavere;26.510201;58.769808
68;enne 1919;uhepereelamu;Jogeva;Alavere;26.512830;58.769232
69;1919-1945;uhepereelamu;Jogeva;Alavere;26.513077;58.768801
70;1971-1980;uhepereelamu;Jogeva;Alavere;26.512542;58.767651
71;1919-1945;uhepereelamu;Jogeva;Alavere;26.513016;58.765742
72;enne 1919;uhepereelamu;Jogeva;Alavere;26.517989;58.757316
73;enne 1919;uhepereelamu;Jogeva;Alavere;26.519795;58.754901
74;1981-1990;uhepereelamu;Jogeva;Alavere;26.522193;58.755029
75;1919-1945;uhepereelamu;Jogeva;Alavere;26.524174;58.757295
76;1981-1990;uhepereelamu;Jogeva;Alavere;26.517110;58.753946
77;1971-1980;uhepereelamu;Jogeva;Alavere;26.515287;58.753866
78;1981-1990;uhepereelamu;Jogeva;Alavere;26.515798;58.753087
79;1971-1980;uhepereelamu;Jogeva;Alavere;26.513721;58.752656
80;1919-1945;uhepereelamu;Jogeva;Alavere;26.519799;58.763077
81;enne 1919;uhepereelamu;Puurmani;Altnurga;26.300992;58.547581
82;enne 1919;uhepereelamu;Puurmani;Altnurga;26.300657;58.548242
83;enne 1919;uhepereelamu;Puurmani;Altnurga;26.300313;58.548708
84;1919-1945;uhepereelamu;Puurmani;Altnurga;26.303231;58.553119
85;1919-1945;uhepereelamu;Puurmani;Altnurga;26.297650;58.554261
86;1919-1945;uhepereelamu;Puurmani;Altnurga;26.296548;58.556581
87;1919-1945;uhepereelamu;Puurmani;Altnurga;26.292558;58.558953
88;1919-1945;uhepereelamu;Puurmani;Altnurga;26.294070;58.561019
89;1919-1945;uhepereelamu;Puurmani;Altnurga;26.294965;58.563168
90;1919-1945;uhepereelamu;Puurmani;Altnurga;26.291489;58.563886
91;1946-1960;uhepereelamu;Puurmani;Altnurga;26.293054;58.564711
92;1919-1945;uhepereelamu;Puurmani;Altnurga;26.304447;58.560113
93;1919-1945;uhepereelamu;Puurmani;Altnurga;26.309281;58.559111
94;1919-1945;uhepereelamu;Puurmani;Altnurga;26.315373;58.559981
95;enne 1919;uhepereelamu;Puurmani;Altnurga;26.315666;58.562607
96;enne 1919;uhepereelamu;Puurmani;Altnurga;26.317884;58.557904
97;enne 1919;uhepereelamu;Puurmani;Altnurga;26.326411;58.550140
98;1919-1945;uhepereelamu;Puurmani;Altnurga;26.311095;58.544641
99;enne 1919;uhepereelamu;Puurmani;Altnurga;26.320597;58.541982
100;enne 1919;uhepereelamu;Puurmani;Altnurga;26.325961;58.537618
101;1961-1970;uhepereelamu;Puurmani;Altnurga;26.331112;58.541458
102;enne 1919;uhepereelamu;Puurmani;Altnurga;26.334800;58.540080
